Recency (months),Frequency (times),Monetary (c.c. blood),Time (months),My prediction
14.0,3.0,750.0,26.0,0
16.0,8.0,2000.0,76.0,0
2.0,2.0,500.0,11.0,0
4.0,4.0,1000.0,4.0,0
11.0,9.0,2250.0,33.0,0
15.0,16.0,4000.0,82.0,0
2.0,3.0,750.0,24.0,0
2.0,7.0,1750.0,14.0,1
2.0,2.0,500.0,16.0,0
4.0,2.0,500.0,4.0,1
23.0,3.0,750.0,35.0,0
2.0,13.0,3250.0,32.0,1
4.0,6.0,1500.0,43.0,0
1.0,9.0,2250.0,51.0,0
16.0,1.0,250.0,16.0,0
11.0,5.0,1250.0,35.0,0
16.0,6.0,1500.0,35.0,1
11.0,4.0,1000.0,58.0,0
11.0,9.0,2250.0,72.0,1
16.0,1.0,250.0,16.0,0
14.0,5.0,1250.0,50.0,0
14.0,3.0,750.0,52.0,0
14.0,7.0,1750.0,72.0,0
1.0,16.0,4000.0,35.0,1
2.0,44.0,11000.0,98.0,0
14.0,4.0,1000.0,28.0,1
23.0,1.0,250.0,23.0,0
1.0,7.0,1750.0,57.0,0
14.0,4.0,1000.0,38.0,0
4.0,6.0,1500.0,35.0,0
7.0,5.0,1250.0,35.0,0
23.0,2.0,500.0,23.0,0
8.0,2.0,500.0,16.0,0
2.0,11.0,2750.0,41.0,1
16.0,1.0,250.0,16.0,0
23.0,1.0,250.0,23.0,0
11.0,14.0,3500.0,73.0,1
2.0,11.0,2750.0,46.0,0
11.0,1.0,250.0,11.0,0
4.0,1.0,250.0,4.0,1
14.0,5.0,1250.0,28.0,1
2.0,5.0,1250.0,34.0,0
2.0,7.0,1750.0,28.0,0
2.0,11.0,2750.0,28.0,0
2.0,43.0,10750.0,86.0,1
2.0,11.0,2750.0,46.0,0
4.0,1.0,250.0,4.0,1
23.0,12.0,3000.0,86.0,0
2.0,14.0,3500.0,48.0,1
21.0,2.0,500.0,35.0,0
11.0,1.0,250.0,11.0,0
2.0,7.0,1750.0,58.0,1
4.0,1.0,250.0,4.0,1
2.0,7.0,1750.0,77.0,0
4.0,2.0,500.0,4.0,1
4.0,1.0,250.0,4.0,1
21.0,3.0,750.0,70.0,0
2.0,7.0,1750.0,46.0,1
11.0,2.0,500.0,11.0,0
11.0,1.0,250.0,11.0,0
23.0,14.0,3500.0,93.0,0
2.0,7.0,1750.0,29.0,0
2.0,2.0,500.0,14.0,0
16.0,4.0,1000.0,23.0,0
4.0,5.0,1250.0,26.0,1
2.0,5.0,1250.0,26.0,0
9.0,9.0,2250.0,16.0,0
14.0,1.0,250.0,14.0,0
2.0,3.0,750.0,52.0,0
3.0,5.0,1250.0,12.0,1
11.0,16.0,4000.0,89.0,0
3.0,16.0,4000.0,74.0,0
14.0,1.0,250.0,14.0,0
2.0,1.0,250.0,2.0,1
4.0,1.0,250.0,4.0,1
4.0,19.0,4750.0,69.0,1
14.0,3.0,750.0,21.0,1
2.0,11.0,2750.0,79.0,1
2.0,1.0,250.0,2.0,1
4.0,2.0,500.0,59.0,0
2.0,1.0,250.0,2.0,1
11.0,24.0,6000.0,64.0,0
2.0,12.0,3000.0,52.0,0
16.0,1.0,250.0,16.0,0
14.0,2.0,500.0,35.0,0
9.0,1.0,250.0,9.0,0
2.0,1.0,250.0,2.0,1
16.0,14.0,3500.0,83.0,0
4.0,8.0,2000.0,26.0,1
2.0,1.0,250.0,2.0,1
11.0,1.0,250.0,11.0,0
2.0,1.0,250.0,2.0,1
72.0,1.0,250.0,72.0,0
2.0,1.0,250.0,2.0,1
11.0,8.0,2000.0,46.0,0
2.0,2.0,500.0,11.0,0
4.0,2.0,500.0,46.0,1
11.0,6.0,1500.0,58.0,0
11.0,1.0,250.0,11.0,0
4.0,8.0,2000.0,40.0,1
23.0,2.0,500.0,23.0,0
4.0,7.0,1750.0,52.0,0
4.0,1.0,250.0,4.0,1
23.0,1.0,250.0,23.0,0
4.0,9.0,2250.0,55.0,0
3.0,10.0,2500.0,33.0,1
4.0,2.0,500.0,51.0,1
11.0,22.0,5500.0,98.0,0
5.0,24.0,6000.0,79.0,0
4.0,10.0,2500.0,28.0,1
4.0,5.0,1250.0,58.0,0
23.0,2.0,500.0,38.0,0
4.0,4.0,1000.0,18.0,0
2.0,8.0,2000.0,35.0,1
14.0,1.0,250.0,14.0,0
0.0,3.0,750.0,4.0,1
2.0,11.0,2750.0,23.0,0
23.0,3.0,750.0,62.0,0
11.0,1.0,250.0,11.0,0
7.0,14.0,3500.0,48.0,0
4.0,2.0,500.0,13.0,0
2.0,2.0,500.0,4.0,0
16.0,7.0,1750.0,64.0,0
4.0,6.0,1500.0,35.0,0
23.0,2.0,500.0,26.0,0
2.0,5.0,1250.0,63.0,0
11.0,1.0,250.0,11.0,0
16.0,3.0,750.0,34.0,0
3.0,21.0,5250.0,42.0,1
16.0,4.0,1000.0,28.0,0
16.0,5.0,1250.0,27.0,0
21.0,1.0,250.0,21.0,0
11.0,2.0,500.0,70.0,0
4.0,6.0,1500.0,30.0,1
4.0,7.0,1750.0,25.0,0
6.0,22.0,5500.0,28.0,1
16.0,1.0,250.0,16.0,0
14.0,4.0,1000.0,40.0,0
4.0,2.0,500.0,4.0,1
2.0,3.0,750.0,9.0,1
23.0,4.0,1000.0,53.0,0
4.0,4.0,1000.0,16.0,0
4.0,1.0,250.0,4.0,1
16.0,5.0,1250.0,40.0,1
9.0,5.0,1250.0,19.0,0
2.0,3.0,750.0,14.0,0
16.0,1.0,250.0,16.0,0
23.0,1.0,250.0,23.0,0
21.0,1.0,250.0,21.0,0
